p.value	estimate	method	df.df	taxonomy	index	qval
0.00337917057742003	-1.67930421277223	Welch Two Sample t-test	3.99900884064429	Homo sapiens	743	0.022780976342257
0.00338519363621184	1.72918850438454	Welch Two Sample t-test	2.8423049549195	Escherichia coli (strain K12)	744	0.0227909071556251
0.00339920744049559	-0.60499020155331	Welch Two Sample t-test	3.55078806346752	Homo sapiens	745	0.0228417564900917
0.00340186670824683	1.16478387564819	Welch Two Sample t-test	2.93991752814865	Escherichia coli (strain K12)	746	0.0228417564900917
0.00343003519583611	1.37450261710265	Welch Two Sample t-test	2.14291273113234	Escherichia coli (strain K12)	747	0.0230000619758274
0.00344976974022123	1.50223638295139	Welch Two Sample t-test	3.90129505908538	Escherichia coli (strain K12)	748	0.0231007503396522
0.00345427470640836	-0.684763434184061	Welch Two Sample t-test	3.84325888329103	Homo sapiens	749	0.0231007503396522
0.00347278772943558	1.10045044313012	Welch Two Sample t-test	2.62555932029416	Escherichia coli (strain K12)	750	0.0231747920467541
0.00347459948634704	-0.605780600399779	Welch Two Sample t-test	3.68176714334927	Homo sapiens	751	0.0231747920467541
0.00348463312923895	-0.684107936359529	Welch Two Sample t-test	2.91585346496275	Homo sapiens	752	0.0232108076387738
0.00349538223764976	-0.745269832150859	Welch Two Sample t-test	3.67579462497318	Homo sapiens	753	0.0232311040825642
0.00349695597489587	1.24439119760841	Welch Two Sample t-test	2.41231668665925	Escherichia coli (strain K12)	754	0.0232311040825642
0.00351075591621611	-1.81626491743037	Welch Two Sample t-test	3.7875676327136	Homo sapiens	755	0.0232682239289012
0.00351183415656804	1.40481295868672	Welch Two Sample t-test	2.23491571072374	Escherichia coli (strain K12)	756	0.0232682239289012
0.00354069295501416	-0.882074835474666	Welch Two Sample t-test	2.44071730097856	Homo sapiens	757	0.0233762742786571
0.00354414281824053	-0.598309161798022	Welch Two Sample t-test	3.1744873232511	Homo sapiens	758	0.0233762742786571
0.00354666451258044	1.52649098988806	Welch Two Sample t-test	2.77878791115835	Escherichia coli (strain K12)	759	0.0233762742786571
0.0035468094333758	1.072387663294	Welch Two Sample t-test	2.51044565477954	Escherichia coli (strain K12)	760	0.0233762742786571
0.00355238564275043	1.36266257465904	Welch Two Sample t-test	2.59191513885827	Escherichia coli (strain K12)	761	0.0233822597694309
0.0035682864096186	1.36315237062815	Welch Two Sample t-test	2.14183413398816	Escherichia coli (strain K12)	762	0.0234355528595328
0.00356983965498573	-0.522122092206672	Welch Two Sample t-test	3.14564816451657	Homo sapiens	763	0.0234355528595328
0.00358862454598984	-0.959509012395273	Welch Two Sample t-test	2.08971220046181	Homo sapiens	764	0.0235041171357095
0.00358966851843038	-0.469028554598224	Welch Two Sample t-test	3.06981279641353	Homo sapiens	765	0.0235041171357095
0.00360350687704307	-1.09210487473624	Welch Two Sample t-test	2.30274489882044	Homo sapiens	766	0.0235639242129357
0.00361369937733091	1.48642278601236	Welch Two Sample t-test	2.32034560792018	Escherichia coli (strain K12)	767	0.0235997655554766
0.00361986655287178	-0.285114506502848	Welch Two Sample t-test	3.38235091408453	Homo sapiens	768	0.0236092598480921
0.00362707348151505	-1.08551994095624	Welch Two Sample t-test	3.66735762310779	Homo sapiens	769	0.0236255020401936
0.00364551041404758	1.07966964497996	Welch Two Sample t-test	2.01593558764717	Escherichia coli (strain K12)	770	0.0236888910501801
0.00364626372523236	1.44585907153663	Welch Two Sample t-test	2.68272654805371	Escherichia coli (strain K12)	771	0.0236888910501801
0.00366922385363709	1.56706369889791	Welch Two Sample t-test	2.28617503964856	Escherichia coli (strain K12)	772	0.0238071791228862
