	Organism	hpd_2.5	hpd_97.5	mc_error	mean	n_peptides	sd
P62995		0.026783821119459095	0.30983916662955435	0.0006275795548003881	0.17152444701025374	2.0	0.07221795984279933
P63000		-0.31296638758473927	-0.1365064889958405	0.00040782865891540835	-0.2199790248088788	2.0	0.0449130769671682
P68371		-0.4314672064145938	-0.03204063185756956	0.001027349215573623	-0.2289972846399556	2.0	0.10167268478257085
P80723		-0.6168215307355169	-0.22658775033763856	0.0008964346091634918	-0.4164132708790853	2.0	0.10007090781149892
Q01469		-0.013182258454597973	0.2197856289560527	0.0005922326947606279	0.1012939515043951	2.0	0.05923530888868896
Q06323		-0.012451853995511186	0.18946026416860706	0.0005489772732969066	0.09184249843725595	2.0	0.051687093968182656
Q07666		-0.24057062179041178	-0.02305411207200203	0.0006583008559563891	-0.13163889496097247	2.0	0.0560261735907087
Q13151		-0.21844038401001575	-0.023159201907745564	0.00045033144007392505	-0.12194685975692637	2.0	0.05000060655684153
Q14019		-0.49740139141047846	-0.2824693570228558	0.0005245638591694381	-0.38417170030813463	2.0	0.055139960686907005
Q5T3I3, Q5T3I4, Q8NCW5		-0.2756099564463981	-0.01753344905415899	0.0007204317733564	-0.1407931980520117	2.0	0.0657783600736585
Q86UX7		0.03141234948370397	0.29341993049333426	0.0005889490093802101	0.16363573249789296	2.0	0.06710317558924427
Q8NBJ5		-0.021749636052309285	0.19537941580017626	0.0006629120925167872	0.08729501538439927	2.0	0.055534669242601566
Q8TDZ2		-0.37705334559135895	-0.15818846321788493	0.0004986752975577672	-0.2633771680953409	2.0	0.05590847129509327
Q8TEM1		-0.6961522903259405	-0.38141722818422985	0.0008205724044960784	-0.5318998081839754	2.0	0.08077808314749438
Q92835		-0.3428187319167517	-0.13144986923739221	0.0005492149026413492	-0.23642252257253807	2.0	0.05392332422898573
Q96C19		0.026905416484407807	0.2975568506224535	0.0006132250722528973	0.1661175228928217	2.0	0.06854260724187343
Q9NR45		-0.01206307625243519	0.1686767398985325	0.00042909261149932134	0.07797494481240932	2.0	0.045686420042309085
Q9NRX4		-0.15995138056131086	0.0682046455730676	0.0006102975283536784	-0.04490245944564676	2.0	0.05761373127580159
Q9NSD9		-0.18391278989635484	0.13696025045887894	0.0008579173219685615	-0.02239549025205714	2.0	0.08187532990073818
Q9P0L0		-0.07159198750145523	0.15707608866141265	0.000590459569399307	0.039328042601199306	2.0	0.058333832375302
Q9UHV9		-0.17511279142281655	-0.0004289873621774465	0.00045822805179602567	-0.08535167339948811	2.0	0.04466251888520462
Q9Y2W1		-0.3554776429423292	-0.10846853513223498	0.0007335363801015572	-0.2264205824347709	2.0	0.06305770745839862
Q9Y3C8		-0.520921614296415	-0.1261993690810037	0.0010184998436022206	-0.3229380117073623	2.0	0.10062410007287338
Q9Y3I0		-0.1259299885911902	0.050442610818872025	0.0004517530437726586	-0.037086042440605385	2.0	0.04454025923023829
